date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2021-03-16,45.119999,45.380001,44.450001,44.755001,44.740234,6973200.0,6973200.0,-0.73,-0.809,89.72334,"March 16, 21",-0.00809
2021-03-17,44.27,45.474998,43.845001,45.165001,45.150101,8504200.0,8504200.0,1.79,2.022,89.65667,"March 17, 21",0.02022
2021-03-18,44.240002,44.994999,43.0,43.200001,43.185749,10932600.0,10932600.0,-2.08,-2.351,87.46333,"March 18, 21",-0.02351
2021-03-19,43.105,43.650002,42.189999,42.970001,42.955826,8538200.0,8538200.0,-0.27,-0.313,85.87333,"March 19, 21",-0.00313
2021-03-22,43.125,44.48,43.119999,43.955002,43.940502,7587800.0,7587800.0,1.66,1.925,87.70333,"March 22, 21",0.01925
2021-03-23,43.75,44.264999,42.654999,42.950001,42.950001,9710600.0,9710600.0,-1.6,-1.829,86.58,"March 23, 21",-0.01829
2021-03-24,43.435001,44.005001,42.275002,42.275002,42.275002,8244600.0,8244600.0,-2.32,-2.671,85.70334,"March 24, 21",-0.02671
2021-03-25,41.775002,43.27,41.095001,42.970001,42.970001,11545800.0,11545800.0,2.39,2.861,84.89,"March 25, 21",0.02861
2021-03-26,43.400002,45.195,43.18,45.075001,45.075001,10852800.0,10852800.0,3.35,3.859,88.96667,"March 26, 21",0.03859
2021-03-29,44.514999,45.305,43.974998,44.990002,44.990002,11301200.0,11301200.0,0.95,1.067,89.51333,"March 29, 21",0.01067
2021-03-30,44.544998,44.869999,44.049999,44.615002,44.615002,8918600.0,8918600.0,0.14001,0.157,89.02333,"March 30, 21",0.00157
2021-03-31,44.834999,45.724998,44.825001,45.169998,45.169998,11006000.0,11006000.0,0.67,0.747,90.48,"March 31, 21",0.00747
2021-04-01,45.860001,46.639999,45.779999,46.575001,46.575001,10146600.0,10146600.0,1.43,1.559,92.66333,"April 01, 21",0.01559
2021-04-05,47.615002,48.830002,47.59,48.595001,48.595001,10349200.0,10349200.0,1.96,2.058,96.67667,"April 05, 21",0.02058
2021-04-06,48.419998,48.93,48.294998,48.52,48.52,9015400.0,9015400.0,0.20001,0.207,97.16333,"April 06, 21",0.00207
2021-04-07,48.485001,48.830002,48.290001,48.715,48.715,6547800.0,6547800.0,0.46,0.474,97.22334,"April 07, 21",0.00474
2021-04-08,49.174999,49.41,48.825001,49.380001,49.380001,5686000.0,5686000.0,0.41,0.417,98.41,"April 08, 21",0.00417
2021-04-09,49.369999,50.529999,49.294998,50.455002,50.455002,6527000.0,6527000.0,2.17001,2.198,100.18667,"April 09, 21",0.02198
2021-04-12,50.209999,50.619999,49.990002,50.5,50.5,5920000.0,5920000.0,0.58,0.578,100.74,"April 12, 21",0.00578
2021-04-13,50.465,51.205002,50.325001,50.924999,50.924999,6068000.0,6068000.0,0.92,0.912,101.63667,"April 13, 21",0.00912
2021-04-14,50.950001,51.365002,50.220001,50.435001,50.435001,9262400.0,9262400.0,-1.03,-1.011,101.34667,"April 14, 21",-0.01011
